Event.Id,Event.Date,Year,Make,Model,Aircraft.Category,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Injury.Severity,Severity.Level,Outcome
20070730X01056,2007-07-07,2007,Air Tractor,AT-402B,Airplane,No,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Non-Fatal,None,Non-Fatal
20070718X00957,2007-07-08,2007,Mooney,M20F,Airplane,No,1.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,VMC,Landing,Fatal,High,Fatal
20070807X01135,2007-07-08,2007,Cessna,182K,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Approach,Non-Fatal,Low,Non-Fatal
20070904X01303,2007-07-08,2007,Cessna,182Q,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20071106X01735,2007-07-08,2007,Beech,B90,Airplane,No,2.0,Turbo Prop,Skydiving,0.0,1.0,0.0,12.0,VMC,Descent,Non-Fatal,Medium,Non-Fatal
20070908X01333,2007-07-08,2007,Aeronca,7AC,Airplane,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Standing,Non-Fatal,Medium,Non-Fatal
20070716X00937,2007-07-09,2007,Piper,PA-30,Airplane,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Cruise,Fatal,High,Fatal
20070808X01137,2007-07-09,2007,Robinson,R22 Beta,Helicopter,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Non-Fatal,None,Non-Fatal
20070711X00915,2007-07-09,2007,Cessna,182K,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Cruise,Non-Fatal,Low,Non-Fatal
20070815X01190,2007-07-09,2007,Piper,PA-12,Airplane,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,Non-Fatal,Medium,Non-Fatal
20070820X01209,2007-07-10,2007,Cessna,182R,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070829X01270,2007-07-10,2007,Bell,47G-5,Helicopter,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070723X00973,2007-07-10,2007,Cessna,310R,Airplane,No,2.0,Reciprocating,Executive/corporate,5.0,4.0,0.0,0.0,VMC,Cruise,Fatal,High,Fatal
20070809X01160,2007-07-11,2007,Bell,47G-2A,Helicopter,No,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC,Maneuvering,Non-Fatal,Low,Non-Fatal
20070803X01097,2007-07-11,2007,Grumman,G-164B,Airplane,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Non-Fatal,None,Non-Fatal
20070721X00971,2007-07-11,2007,Piper,PA-31-350,Airplane,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Cruise,Incident,None,Non-Fatal
20070806X01111,2007-07-12,2007,Piper,PA-23-160,Airplane,No,2.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Approach,Non-Fatal,Low,Non-Fatal
20070828X01256,2007-07-12,2007,Schweizer,269C-1,Helicopter,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Standing,Non-Fatal,None,Non-Fatal
20070911X01360,2007-07-12,2007,Boeing,777-232,Airplane,No,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,250.0,VMC,Taxi,Non-Fatal,Medium,Non-Fatal
20081003X63352,2007-07-12,2007,Aerospatiale,350B1,Helicopter,No,2.0,Turbo Shaft,Unknown,1.0,1.0,0.0,0.0,UNKNOWN,,Fatal,High,Fatal
